"","ID","Description","Calories","Protein","TotalFat","Carbohydrate","Sodium","Cholesterol","Calcium","Iron","Potassium","Sugar","VitaminC","VitaminD","VitaminE","HighSodium","HighCalories","HighProtein","HighSugar","HighTotalFat"
"3237",11908,"CORN,SWT,WHITE,CND,VACUUM PK,REG PK",79,2.41,0.5,19.44,486,0,5,0.42,224,8.20492025989368,8.1,0,1.45826641912277,0,0,0,0,0
"3238",11909,"CORN,SWT,WHITE,CND,VACUUM PK,NO SALT",79,2.41,0.5,19.44,516,0,5,0.42,224,8.20492025989368,8.1,0,1.45826641912277,0,0,0,0,0
"3239",11910,"CORN,SWT,WHITE,FRZ,KRNLS CUT OFF COB,UNPREP",88,3.02,0.77,20.81,516,0,4,0.42,281,8.20492025989368,6.4,0,1.45826641912277,0,0,0,0,0
"3240",11911,"CORN,SWT,WHITE,FRZ,KRNLS CUT OFF COB,BLD,DRND,WO/SALT",80,2.75,0.43,19.56,750,0,4,0.35,180,3.12,3.1,0,0.07,1,0,0,0,0
"3241",11912,"CORN,SWT,WHITE,FRZ,KRNLS CUT OFF COB,BLD,DRND,W/SALT",80,2.75,0.43,19.56,453,0,4,0.35,180,3.12,3.1,0,0.07,0,0,0,0,0
"3242",11913,"CORN,SWT,WHITE,FRZ,KRNLS ON COB,UNPREP",98,3.28,0.78,23.5,750,0,4,0.68,373,8.20492025989368,7.2,0,1.45826641912277,1,0,0,0,0
"3243",11914,"CORN,SWT,WHITE,FRZ,KRNLS ON COB,CKD,BLD,DRND,WO/SALT",94,3.11,0.74,22.33,636,0,3,0.61,326,8.20492025989368,4.8,0,1.45826641912277,0,0,0,0,0
"3244",11915,"CORN,SWT,WHITE,FRZ,KRNLS ON COB,CKD,BLD,DRND,W/SALT",94,3.11,0.74,22.33,448,0,3,0.61,326,8.20492025989368,4.8,0,1.45826641912277,0,0,0,0,0
"3245",11916,"PEPPERS,SWT,RED,CND,SOL&LIQUIDS",18,0.8,0.3,3.9,186,0,41,0.8,179,8.20492025989368,46.5,0,1.45826641912277,0,0,0,0,0
"3246",11917,"PEPPERS,SWT,RED,FRZ,CHOPD,UNPREP",20,1.08,0.21,4.45,750,0,9,0.62,856,3.26,58.7,0,1.23,1,0,0,0,0
"3247",11918,"PEPPERS,SWT,RED,FRZ,CHOPD,BLD,DRND,WO/ SALT",16,0.95,0.18,3.31,636,0,8,0.52,777,2.86,41.2,0,1.08,0,0,0,0,0
"3248",11919,"PEPPERS,SWT,RED,FRZ,CHOPD,BLD,DRND,W/ SALT",16,0.95,0.18,3.31,448,0,8,0.52,777,2.86,41.2,0,1.08,0,0,0,0,0
"3249",11921,"PEPPERS,SWT,RED,SAUTEED",133,1.04,12.75,6.57,413,0,7,0.47,232,4.28,162.8,0,3.09,0,0,0,0,1
"3250",11922,"SESBANIA FLOWER,CKD,STMD,W/SALT",21,1.14,0.05,5.1,455,0,22,0.56,136,8.20492025989368,37,0,1.45826641912277,0,0,0,0,0
"3251",11923,"SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STMD,W/SALT",81,8.47,4.45,6.53,454,0,59,1.31,451,0.43,8.3,0,0.21,0,0,0,0,0
"3252",11924,"SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STIR-FRIED,W/SALT",125,13.1,7.1,9.4,459,0,82,0.4,672,8.20492025989368,12,0,1.45826641912277,0,0,1,0,0
"3253",11925,"DOCK,CKD,BLD,DRND,W/SALT",20,1.83,0.64,2.93,445,0,38,2.08,414,8.20492025989368,26.3,0,1.45826641912277,0,0,0,0,0
"3254",11926,"LENTILS,SPROUTED,CKD,STIR-FRIED,W/SALT",101,8.8,0.45,21.25,454,0,14,3.1,362,8.20492025989368,12.6,0,1.45826641912277,0,0,0,0,0
"3255",11927,"MOUNTAIN YAM,HAWAII,CKD,STMD,W/ SALT",82,1.73,0.08,19.99,456,0,8,0.43,603,8.20492025989368,0,0,1.45826641912277,0,0,0,0,0
"3256",11928,"TREE FERN,CKD,W/SALT",40,0.29,0.07,10.78,449,0,8,0.16,608,8.20492025989368,30,0,1.45826641912277,0,0,0,0,0
"3257",11929,"POTATOES,MSHD,PREP FROM GRANULES,WO/MILK,WHL MILK&MARGARINE",108,2.05,4.93,14.4,475,3,35,0.19,178,8.20492025989368,6,0,1.45826641912277,0,0,0,0,0
"3258",11930,"POTATOES,MSHD,PREP FROM FLAKES,WO/MILK,WHL MILK&MARGARINE",113,1.9,5.6,15.02,563,4,49,0.22,306,8.20492025989368,9.7,0,1.45826641912277,0,0,0,0,0
"3259",11931,"PEPPERS,SWT,RED,FREEZE-DRIED",314,17.9,3,68.7,365,0,134,10.4,382,40.77,1900,0,4,0,1,1,1,0
"3260",11932,"BEANS,SNAP,YEL,CND,REG PK,DRND SOL",20,1.15,0.1,4.5,460,0,26,0.9,138,0.96,4.8,0,0.29,0,0,0,0,0
"3261",11933,"BEANS,SNAP,YEL,CND,NO SALT,DRND SOL",20,1.15,0.1,4.5,371,0,26,0.9,138,0.96,4.8,0,0.29,0,0,0,0,0
"3262",11934,"POTATOES,MSHD,HOME-PREPARED,WHL MILK & BUTTER ADDED",113,1.86,4.22,16.81,546,11,24,0.26,362,1.43,6,0.2,0.12,0,0,0,0,0
"3263",11935,"CATSUP",97,1.74,0.31,25.15,72,0,18,0.51,481,22.77,15.1,0,1.46,0,0,0,1,0
"3264",11937,"PICKLES,CUCUMBER,DILL OR KOSHER DILL",12,0.6,0.14,2.59,1111,0,42,0.37,859,1.31,0.8,0,0.09,1,0,0,0,0
"3266",11940,"PICKLES,CUCUMBER,SWT (INCLUDES BREAD & BUTTER PICKLES)",91,0.58,0.41,21.15,708,0,61,0.25,129,18.27,0.7,0,0.36,1,0,0,1,0
"3267",11941,"PICKLES,CUCUMBER,SOUR",11,0.33,0.2,2.26,119,0,0,0.4,302,1.06,1,0,0.09,0,0,0,0,0
"3268",11943,"PIMENTO,CANNED",23,1.1,0.3,5.1,308,0,6,1.68,192,2.71,84.9,0,0.69,0,0,0,0,0
